date,bh,fixed_50_200,wf_anchored_calmar,wf_rolling5y_calmar
2008-05-08,1.019846,0.968022,1.059474,1.059474
2008-05-09,1.019846,0.968173,1.059639,1.059639
2008-05-12,1.031974,0.968323,1.059804,1.059804
2008-05-13,1.036384,0.968474,1.059969,1.059969
2008-05-14,1.049614,0.968625,1.060134,1.060134
2008-05-15,1.074421,0.968775,1.060299,1.060299
2008-05-16,1.079934,0.968926,1.060464,1.060464
2008-05-19,1.074972,0.969077,1.055064,1.055064
2008-05-20,1.048512,0.969228,1.029093,1.029093
2008-05-21,1.031974,0.969379,1.012861,1.012861
2008-05-22,1.037486,0.969530,1.018272,1.018272
2008-05-23,1.029768,0.969681,1.010697,1.010697
2008-05-27,1.048512,0.969832,1.029093,1.029093
2008-05-28,1.052370,0.969982,1.032881,1.032881
2008-05-29,1.049063,0.970133,1.029634,1.029634
2008-05-30,1.064498,0.970284,1.044784,1.044784
2008-06-02,1.053473,0.970435,1.033963,1.033963
2008-06-03,1.038589,0.970587,1.019354,1.019354
2008-06-04,1.055127,0.970738,1.035586,1.035586
2008-06-05,1.068908,0.970889,1.049112,1.049112
2008-06-06,1.054024,0.971040,1.034504,1.034504
2008-06-09,1.031974,0.971191,1.012861,1.012861
2008-06-10,1.011577,0.971342,0.992842,0.992842
2008-06-11,0.979052,0.971493,0.960920,0.960920
2008-06-12,0.982911,0.971645,0.964707,0.964707
2008-06-13,1.008269,0.971796,0.989596,0.989596
2008-06-16,1.028666,0.971947,1.009615,1.009615
2008-06-17,1.014884,0.972098,0.996089,0.996089
2008-06-18,0.992282,0.972250,0.973905,0.973905
2008-06-19,1.018192,0.972401,0.999335,0.999335
2008-06-20,0.995039,0.972552,0.976610,0.976610
2008-06-23,0.979603,0.972704,0.961461,0.961461
2008-06-24,0.984564,0.972855,0.966330,0.966330
2008-06-25,1.001654,0.973006,0.983103,0.983103
2008-06-26,0.956450,0.973158,0.938736,0.938736
2008-06-27,0.950386,0.973309,0.932785,0.932785
2008-06-30,0.941014,0.973461,0.923587,0.923587
2008-07-01,0.937707,0.973612,0.920340,0.920340
2008-07-02,0.915105,0.973764,0.898157,0.898157
2008-07-03,0.888644,0.973916,0.872186,0.872186
2008-07-07,0.894157,0.974067,0.877597,0.877597
2008-07-08,0.899118,0.974219,0.882466,0.882466
2008-07-09,0.862734,0.974370,0.846756,0.846756
2008-07-10,0.875413,0.974522,0.859201,0.859201
2008-07-11,0.872657,0.974674,0.856496,0.856496
2008-07-14,0.861632,0.974825,0.845674,0.845674
2008-07-15,0.870452,0.974977,0.854331,0.854331
2008-07-16,0.898567,0.975129,0.881925,0.881925
2008-07-17,0.917861,0.975281,0.900862,0.900862
2008-07-18,0.913451,0.975432,0.896534,0.896534
2008-07-21,0.905733,0.975584,0.888959,0.888959
2008-07-22,0.877619,0.975736,0.861365,0.889097
2008-07-23,0.885888,0.975888,0.869481,0.889236
2008-07-24,0.843440,0.976040,0.827819,0.889374
2008-07-25,0.851709,0.976192,0.835935,0.889513
2008-07-28,0.837927,0.976344,0.822409,0.889651
2008-07-29,0.859427,0.976496,0.843510,0.889790
2008-07-30,0.866593,0.976648,0.843220,0.889928
