date,close,bh_equity,flagship_equity,flagship_position,bh_drawdown,flagship_drawdown
2005-02-15,38.1200,0.746199,1.577687,1,-0.676620,-0.093838
2005-02-16,37.9800,0.743459,1.571892,1,-0.677808,-0.097166
2005-02-17,37.4700,0.733476,1.550785,1,-0.682134,-0.109289
2005-02-18,37.3500,0.731127,1.545818,1,-0.683152,-0.112141
2005-02-22,36.8900,0.722122,1.526780,1,-0.687055,-0.123076
2005-02-23,36.9400,0.723101,1.528849,1,-0.686630,-0.121888
2005-02-24,37.4100,0.732301,1.548301,1,-0.682643,-0.110715
2005-02-25,37.6200,0.736412,1.556993,1,-0.680862,-0.105723
2005-02-28,37.2200,0.728582,1.540438,1,-0.684255,-0.115232
2005-03-01,37.6300,0.736608,1.557407,1,-0.680777,-0.105486
2005-03-02,37.6100,0.736216,1.556579,1,-0.680947,-0.105961
2005-03-03,37.3000,0.730148,1.543749,1,-0.683577,-0.113330
2005-03-04,37.5200,0.734454,1.552854,1,-0.681710,-0.108100
2005-03-07,38.0600,0.745025,1.575203,1,-0.677129,-0.095264
2005-03-08,37.6800,0.737586,1.559476,1,-0.680353,-0.104297
2005-03-09,37.5700,0.735433,1.554923,1,-0.681286,-0.106912
2005-03-10,37.5200,0.734454,1.552854,1,-0.681710,-0.108100
2005-03-11,37.1700,0.727603,1.538369,1,-0.684679,-0.116420
2005-03-14,37.3400,0.730931,1.545404,1,-0.683237,-0.112379
2005-03-15,37.0400,0.725058,1.532988,1,-0.685782,-0.119511
2005-03-16,36.6200,0.716837,1.515605,1,-0.689345,-0.129495
2005-03-17,36.7100,0.718599,1.519330,1,-0.688582,-0.127355
2005-03-18,36.5100,0.714684,1.511053,1,-0.690278,-0.132109
2005-03-21,36.5800,0.716054,1.513950,1,-0.689684,-0.130445
2005-03-22,36.1300,0.707245,1.495326,1,-0.693502,-0.141142
2005-03-23,36.2600,0.709790,1.500706,1,-0.692399,-0.138052
2005-03-24,36.2700,0.709986,1.501120,1,-0.692314,-0.137815
2005-03-28,36.3400,0.711356,1.504017,1,-0.691720,-0.136151
2005-03-29,36.0500,0.705679,1.492015,1,-0.694181,-0.143044
2005-03-30,36.7300,0.718990,1.520158,1,-0.688412,-0.126880
2005-03-31,36.5700,0.715858,1.513536,1,-0.689769,-0.130683
2005-04-01,36.2000,0.708615,1.498223,1,-0.692908,-0.139478
2005-04-04,36.4600,0.713705,1.508983,1,-0.690702,-0.133298
2005-04-05,36.5600,0.715662,1.513122,1,-0.689854,-0.130921
2005-04-06,36.5000,0.714488,1.510639,1,-0.690363,-0.132347
2005-04-07,36.9400,0.723101,1.528849,1,-0.686630,-0.121888
2005-04-08,36.6400,0.717228,1.516433,1,-0.689175,-0.129019
2005-04-11,36.4800,0.714096,1.509811,1,-0.690533,-0.132823
2005-04-12,36.6600,0.717620,1.517261,1,-0.689006,-0.128544
2005-04-13,36.0600,0.705875,1.492429,1,-0.694096,-0.142806
2005-04-14,35.5500,0.695892,1.471321,1,-0.698422,-0.154930
2005-04-15,34.7400,0.680036,1.437797,1,-0.705294,-0.174185
2005-04-18,34.7500,0.680232,1.438211,1,-0.705209,-0.173947
2005-04-19,34.9900,0.684930,1.448144,1,-0.703173,-0.168242
2005-04-20,34.7000,0.679253,1.436142,1,-0.705633,-0.175135
2005-04-21,35.6200,0.697262,1.474218,1,-0.697828,-0.153266
2005-04-22,35.0900,0.686887,1.452283,1,-0.702324,-0.165865
2005-04-25,35.3800,0.692564,1.464285,1,-0.699864,-0.158971
2005-04-26,35.0500,0.686104,1.450627,1,-0.702664,-0.166816
2005-04-27,35.1000,0.687083,1.450128,0,-0.702240,-0.167102
2005-04-28,34.7500,0.680232,1.450353,0,-0.705209,-0.166973
2005-04-29,34.9800,0.684734,1.450579,0,-0.703258,-0.166843
2005-05-02,35.1200,0.687474,1.450805,0,-0.702070,-0.166713
2005-05-03,35.3000,0.690998,1.451031,0,-0.700543,-0.166584
2005-05-04,35.7300,0.699415,1.451257,0,-0.696895,-0.166454
2005-05-05,35.7600,0.700002,1.451482,0,-0.696641,-0.166324
2005-05-06,35.8600,0.701960,1.451708,0,-0.695792,-0.166195
2005-05-09,36.0300,0.705288,1.451934,0,-0.694350,-0.166065
2005-05-10,35.7700,0.700198,1.452160,0,-0.696556,-0.165935
2005-05-11,35.9500,0.703722,1.452386,0,-0.695029,-0.165805
2005-05-12,35.8500,0.701764,1.452612,0,-0.695877,-0.165675
2005-05-13,36.2400,0.709398,1.452839,0,-0.692569,-0.165545
2005-05-16,36.4800,0.714096,1.453065,0,-0.690533,-0.165416
2005-05-17,36.7000,0.718403,1.453291,0,-0.688666,-0.165286
2005-05-18,37.2000,0.728190,1.453517,0,-0.684425,-0.165156
2005-05-19,37.5100,0.734259,1.453743,0,-0.681795,-0.165026
2005-05-20,37.6600,0.737195,1.453970,0,-0.680523,-0.164896
2005-05-23,37.8500,0.740914,1.454196,0,-0.678911,-0.164766
2005-05-24,37.9700,0.743263,1.454422,0,-0.677893,-0.164636
2005-05-25,37.8100,0.740131,1.454649,0,-0.679250,-0.164506
2005-05-26,38.1900,0.747570,1.454875,0,-0.676026,-0.164376
2005-05-27,38.2100,0.747961,1.455101,0,-0.675857,-0.164246
2005-05-31,38.0800,0.745416,1.455328,0,-0.676960,-0.164116
2005-06-01,38.4100,0.751876,1.455554,0,-0.674160,-0.163986
2005-06-02,38.6600,0.756770,1.455781,0,-0.672039,-0.163855
2005-06-03,38.1000,0.745808,1.456008,0,-0.676790,-0.163725
2005-06-06,38.1100,0.746004,1.456234,0,-0.676705,-0.163595
2005-06-07,37.7900,0.739740,1.456461,0,-0.679420,-0.163465
2005-06-08,37.7100,0.738174,1.456688,0,-0.680098,-0.163335
2005-06-09,37.9500,0.742872,1.456914,0,-0.678062,-0.163204
2005-06-10,37.5500,0.735042,1.457141,0,-0.681456,-0.163074
2005-06-13,37.7300,0.738565,1.457368,0,-0.679929,-0.162944
2005-06-14,37.5800,0.735629,1.457595,0,-0.681201,-0.162814
2005-06-15,37.7000,0.737978,1.457822,0,-0.680183,-0.162683
2005-06-16,37.9000,0.741893,1.458049,0,-0.678487,-0.162553
2005-06-17,37.8700,0.741306,1.458275,0,-0.678741,-0.162423
2005-06-20,37.8700,0.741306,1.458502,0,-0.678741,-0.162292
2005-06-21,37.8500,0.740914,1.458729,0,-0.678911,-0.162162
2005-06-22,37.8100,0.740131,1.458957,0,-0.679250,-0.162032
2005-06-23,37.3900,0.731910,1.459184,0,-0.682813,-0.161901
2005-06-24,36.9700,0.723688,1.459411,0,-0.686376,-0.161771
2005-06-27,36.8000,0.720360,1.459638,0,-0.687818,-0.161640
2005-06-28,37.1500,0.727212,1.459865,0,-0.684849,-0.161510
2005-06-29,37.0700,0.725646,1.460092,0,-0.685528,-0.161379
2005-06-30,36.7800,0.719969,1.460320,0,-0.687988,-0.161249
2005-07-01,36.7300,0.718990,1.460547,0,-0.688412,-0.161118
2005-07-05,37.1100,0.726429,1.460774,0,-0.685188,-0.160988
2005-07-06,36.9300,0.722905,1.461002,0,-0.686715,-0.160857
2005-07-07,37.0600,0.725450,1.461229,0,-0.685612,-0.160726
2005-07-08,37.7700,0.739348,1.461456,0,-0.679589,-0.160596
2005-07-11,38.1200,0.746199,1.461684,0,-0.676620,-0.160465
2005-07-12,38.3000,0.749723,1.461911,0,-0.675093,-0.160334
2005-07-13,38.3900,0.751485,1.462139,0,-0.674330,-0.160204
2005-07-14,38.7700,0.758923,1.462367,0,-0.671106,-0.160073
2005-07-15,38.8900,0.761272,1.462594,0,-0.670088,-0.159942
2005-07-18,38.7300,0.758140,1.462822,0,-0.671446,-0.159811
2005-07-19,39.1800,0.766949,1.479078,1,-0.667628,-0.150474
2005-07-20,39.4600,0.772430,1.489648,1,-0.665253,-0.144403
2005-07-21,39.4700,0.772626,1.490026,1,-0.665168,-0.144186
2005-07-22,39.4200,0.771647,1.488138,1,-0.665592,-0.145271
2005-07-25,39.2700,0.768711,1.482476,1,-0.666865,-0.148523
2005-07-26,39.4200,0.771647,1.488138,1,-0.665592,-0.145271
2005-07-27,39.7200,0.777519,1.499464,1,-0.663047,-0.138766
2005-07-28,39.9100,0.781239,1.506636,1,-0.661435,-0.134646
2005-07-29,39.5800,0.774779,1.494179,1,-0.664235,-0.141801
2005-08-01,39.6500,0.776149,1.496821,1,-0.663641,-0.140284
2005-08-02,40.0800,0.784566,1.513054,1,-0.659993,-0.130960
2005-08-03,40.0600,0.784175,1.512299,1,-0.660163,-0.131394
2005-08-04,39.6700,0.776541,1.497576,1,-0.663471,-0.139850
2005-08-05,39.4800,0.772821,1.490404,1,-0.665083,-0.143970
2005-08-08,39.1900,0.767145,1.479456,1,-0.667543,-0.150258
2005-08-09,39.4500,0.772234,1.489271,1,-0.665338,-0.144620
2005-08-10,39.1100,0.765579,1.476436,1,-0.668222,-0.151992
2005-08-11,39.4300,0.771843,1.488516,1,-0.665507,-0.145054
2005-08-12,39.2100,0.767536,1.480211,1,-0.667374,-0.149824
2005-08-15,39.4500,0.772234,1.489271,1,-0.665338,-0.144620
2005-08-16,38.8100,0.759706,1.465110,1,-0.670767,-0.158497
2005-08-17,39.0400,0.764208,1.473793,1,-0.668816,-0.153510
2005-08-18,38.8400,0.760293,1.466243,1,-0.670512,-0.157846
2005-08-19,38.8200,0.759902,1.465488,1,-0.670682,-0.158280
2005-08-22,38.8400,0.760293,1.466243,1,-0.670512,-0.157846
2005-08-23,38.7300,0.758140,1.462090,1,-0.671446,-0.160232
2005-08-24,38.5000,0.753638,1.453408,1,-0.673397,-0.165219
2005-08-25,38.5900,0.755400,1.456805,1,-0.672633,-0.163267
2005-08-26,38.4600,0.752855,1.451898,1,-0.673736,-0.166086
2005-08-29,38.7600,0.758727,1.463223,1,-0.671191,-0.159581
2005-08-30,38.6200,0.755987,1.457938,1,-0.672379,-0.162617
2005-08-31,38.9800,0.763034,1.471528,1,-0.669325,-0.154811
